Category,Level1,Level2,Level3,Level4,Federal,GovXFer,State,Local,Total
North Atlantic Treaty Organization Security Investment Program,Defense,Military defense,Department of Defense  Military (051),North Atlantic Treaty Organization Security Investment Program,0,0,0,0,0
"Family Housing Construction, Army",Defense,Military defense,Department of Defense  Military (051),"Family Housing Construction, Army",0,0,0,0,0
"Family Housing Operation and Maintenance, Army",Defense,Military defense,Department of Defense  Military (051),"Family Housing Operation and Maintenance, Army",0,0,0,0,0
"Family Housing Construction, Navy and Marine Corps",Defense,Military defense,Department of Defense  Military (051),"Family Housing Construction, Navy and Marine Corps",0,0,0,0,0
"Family Housing Operation and Maintenance, Navy and Marine Corps",Defense,Military defense,Department of Defense  Military (051),"Family Housing Operation and Maintenance, Navy and Marine Corps",0,0,0,0,0
"Family Housing Construction, Air Force",Defense,Military defense,Department of Defense  Military (051),"Family Housing Construction, Air Force",0,0,0,0,0
"Family Housing Operation and Maintenance, Air Force",Defense,Military defense,Department of Defense  Military (051),"Family Housing Operation and Maintenance, Air Force",0,0,0,0,0
"Family Housing Operation and Maintenance, DefenseWide",Defense,Military defense,Department of Defense  Military (051),"Family Housing Operation and Maintenance, DefenseWide",0,0,0,0,0
National Defense Sealift Fund,Defense,Military defense,Department of Defense  Military (051),National Defense Sealift Fund,0,0,0,0,0
"Working Capital Fund, Army",Defense,Military defense,Department of Defense  Military (051),"Working Capital Fund, Army",0,0,0,0,0
"Working Capital Fund, Navy",Defense,Military defense,Department of Defense  Military (051),"Working Capital Fund, Navy",0,0,0,0,0
"Working Capital Fund, Air Force",Defense,Military defense,Department of Defense  Military (051),"Working Capital Fund, Air Force",0,0,0,0,0
"Working Capital Fund, Defense Commissary Agency",Defense,Military defense,Department of Defense  Military (051),"Working Capital Fund, Defense Commissary Agency",0,0,0,0,0
"Working Capital Fund, DefenseWide",Defense,Military defense,Department of Defense  Military (051),"Working Capital Fund, DefenseWide",0,0,0,0,0
Pentagon Reservation Maintenance Revolving Fund,Defense,Military defense,Department of Defense  Military (051),Pentagon Reservation Maintenance Revolving Fund,0,0,0,0,0
Voluntary Separation Incentive Fund,Defense,Military defense,Department of Defense  Military (051),Voluntary Separation Incentive Fund,0,0,0,0,0
Host Nation Support Fund for Relocation,Defense,Military defense,Department of Defense  Military (051),Host Nation Support Fund for Relocation,0,0,0,0,0
"MedicareEligible Retiree Health Fund Contribution, Navy",Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, Navy",0,0,0,0,0
"MedicareEligible Retiree Health Fund Contribution, Marine Corps",Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, Marine Corps",0,0,0,0,0
"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Navy",Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Navy",0,0,0,0,0
"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Marine Corps",Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Marine Corps",0,0,0,0,0
"MedicareEligible Retiree Health Fund Contribution, Army",Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, Army",0,0,0,0,0
"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Army",Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Army",0,0,0,0,0
"MedicareEligible Retiree Health Fund Contribution, National Guard Personnel, Army",Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, National Guard Personnel, Army",0,0,0,0,0
"MedicareEligible Retiree Health Fund Contribution, Air Force",Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, Air Force",0,0,0,0,0
"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Air Force",Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Air Force",0,0,0,0,0
"MedicareEligible Retiree Health Fund Contribution, National Guard Personnel, Air Force",Defense,Military defense,Department of Defense  Military (051),"MedicareEligible Retiree Health Fund Contribution, National Guard Personnel, Air Force",0,0,0,0,0
"Military Personnel, Marine Corps",Defense,Military defense,Department of Defense  Military (051),"Military Personnel, Marine Corps",0,0,0,0,0
"Reserve Personnel, Marine Corps",Defense,Military defense,Department of Defense  Military (051),"Reserve Personnel, Marine Corps",0,0,0,0,0
"Reserve Personnel, Navy",Defense,Military defense,Department of Defense  Military (051),"Reserve Personnel, Navy",0,0,0,0,0
"Military Personnel, Navy",Defense,Military defense,Department of Defense  Military (051),"Military Personnel, Navy",0,0,0,0,0
"Military Personnel, Army",Defense,Military defense,Department of Defense  Military (051),"Military Personnel, Army",0,0,0,0,0
"National Guard Personnel, Army",Defense,Military defense,Department of Defense  Military (051),"National Guard Personnel, Army",0,0,0,0,0
"Reserve Personnel, Army",Defense,Military defense,Department of Defense  Military (051),"Reserve Personnel, Army",0,0,0,0,0
"Military Personnel, Air Force",Defense,Military defense,Department of Defense  Military (051),"Military Personnel, Air Force",0,0,0,0,0
"Reserve Personnel, Air Force",Defense,Military defense,Department of Defense  Military (051),"Reserve Personnel, Air Force",0,0,0,0,0
"National Guard Personnel, Air Force",Defense,Military defense,Department of Defense  Military (051),"National Guard Personnel, Air Force",0,0,0,0,0
Concurrent Receipt Accrual Payments to the Military Retirement Fund,Defense,Military defense,Department of Defense  Military (051),Concurrent Receipt Accrual Payments to the Military Retirement Fund,0,0,0,0,0
Energy Employees Occupational Illness Compensation Fund,Defense,Military defense,Atomic energy defense activities (053),Energy Employees Occupational Illness Compensation Fund,0,0,0,0,0
"Administrative Expenses, Energy Employees Occupational Illness Compensation Fund",Defense,Military defense,Atomic energy defense activities (053),"Administrative Expenses, Energy Employees Occupational Illness Compensation Fund",0,0,0,0,0
Other Defense Activities,Defense,Military defense,Atomic energy defense activities (053),Other Defense Activities,0,0,0,0,0
Defense Environmental Cleanup,Defense,Military defense,Atomic energy defense activities (053),Defense Environmental Cleanup,0,0,0,0,0
Nuclear Energy,Defense,Military defense,Atomic energy defense activities (053),Nuclear Energy,0,0,0,0,0
Weapons Activities,Defense,Military defense,Atomic energy defense activities (053),Weapons Activities,0,0,0,0,0
Defense Nuclear Nonproliferation,Defense,Military defense,Atomic energy defense activities (053),Defense Nuclear Nonproliferation,0,0,0,0,0
Office of the Administrator,Defense,Military defense,Atomic energy defense activities (053),Office of the Administrator,0,0,0,0,0
Naval Reactors,Defense,Military defense,Atomic energy defense activities (053),Naval Reactors,0,0,0,0,0
Formerly Utilized Sites Remedial Action Program,Defense,Military defense,Atomic energy defense activities (053),Formerly Utilized Sites Remedial Action Program,0,0,0,0,0
CDCWide Activities and Program Support,Defense,Military defense,Atomic energy defense activities (053),CDCWide Activities and Program Support,0,0,0,0,0
"Payment from the General Fund, Radiation Exposure Compensation Trust Fund",Defense,Military defense,Defenserelated activities (054),"Payment from the General Fund, Radiation Exposure Compensation Trust Fund",0,0,0,0,0
Salaries and Expenses,Defense,Military defense,Defenserelated activities (054),Salaries and Expenses,0,0,0,0,0
Payment to Radiation Exposure Compensation Trust Fund,Defense,Military defense,Defenserelated activities (054),Payment to Radiation Exposure Compensation Trust Fund,0,0,0,0,0
Radiation Exposure Compensation Trust Fund,Defense,Military defense,Defenserelated activities (054),Radiation Exposure Compensation Trust Fund,0,0,0,0,0
Payment to Military Retirement Fund,Defense,Military defense,Defenserelated activities (054),Payment to Military Retirement Fund,0,0,0,0,0
"Federal Contributions, Military Retirement Fund",Defense,Military defense,Defenserelated activities (054),"Federal Contributions, Military Retirement Fund",0,0,0,0,0
"Federal Contributions, DoD MedicareEligible Retiree Health Care Fund",Defense,Military defense,Defenserelated activities (054),"Federal Contributions, DoD MedicareEligible Retiree Health Care Fund",0,0,0,0,0
Payment to Department of Defense MedicareEligible Retiree Health Care Fund,Defense,Military defense,Defenserelated activities (054),Payment to Department of Defense MedicareEligible Retiree Health Care Fund,0,0,0,0,0
Maritime Security Program,Defense,Military defense,Defenserelated activities (054),Maritime Security Program,0,0,0,0,0
Operating Expenses,Defense,Military defense,Defenserelated activities (054),Operating Expenses,0,0,0,0,0
Infrastructure Protection and Information Security,Defense,Military defense,Defenserelated activities (054),Infrastructure Protection and Information Security,0,0,0,0,0
Salaries and Expenses,Defense,Military defense,Defenserelated activities (054),Salaries and Expenses,0,0,0,0,0
Central Intelligence Agency Retirement and Disability System Fund,Defense,Military defense,Defenserelated activities (054),Central Intelligence Agency Retirement and Disability System Fund,0,0,0,0,0
Research and Related Activities,Defense,Military defense,Defenserelated activities (054),Research and Related Activities,0,0,0,0,0
Intelligence Community Management Account,Defense,Military defense,Defenserelated activities (054),Intelligence Community Management Account,0,0,0,0,0
Civil defense,Defense,Civil defense,,,0,0,0,0,0
"NSLI Fund, Premium and Other Receipts",Defense,Veterans,Income security for veterans (701),"NSLI Fund, Premium and Other Receipts",0,0,0,0,0
Compensation and Pensions,Defense,Veterans,Income security for veterans (701),Compensation and Pensions,0,0,0,0,0
Veterans Insurance and Indemnities,Defense,Veterans,Income security for veterans (701),Veterans Insurance and Indemnities,0,0,0,0,0
Compensation,Defense,Veterans,Income security for veterans (701),Compensation,0,0,0,0,0
Pensions benefits,Defense,Veterans,Income security for veterans (701),Pensions benefits,0,0,0,0,0
National Service Life Insurance Fund,Defense,Veterans,Income security for veterans (701),National Service Life Insurance Fund,0,0,0,0,0
Veterans Special Life Insurance Fund,Defense,Veterans,Income security for veterans (701),Veterans Special Life Insurance Fund,0,0,0,0,0
Veterans Employment and Training,Defense,Veterans,"Veterans education, training, and rehabilitation (702)",Veterans Employment and Training,0,0,0,0,0
"Employing Agency Contributions, Education Benefits Fund",Defense,Veterans,"Veterans education, training, and rehabilitation (702)","Employing Agency Contributions, Education Benefits Fund",0,0,0,0,0
Education Benefits Fund,Defense,Veterans,"Veterans education, training, and rehabilitation (702)",Education Benefits Fund,0,0,0,0,0
"Contributions from Military Personnel, Veteran's Educational Assistance Act of 1984",Defense,Veterans,"Veterans education, training, and rehabilitation (702)","Contributions from Military Personnel, Veteran's Educational Assistance Act of 1984",0,0,0,0,0
Readjustment Benefits,Defense,Veterans,"Veterans education, training, and rehabilitation (702)",Readjustment Benefits,0,0,0,0,0
"Pharmaceutical Copayments, MCCF",Defense,Veterans,Hospital and medical care for veterans (703),"Pharmaceutical Copayments, MCCF",0,0,0,0,0
"First Party Collections, MCCF",Defense,Veterans,Hospital and medical care for veterans (703),"First Party Collections, MCCF",0,0,0,0,0
"Third Party Collections, MCCF",Defense,Veterans,Hospital and medical care for veterans (703),"Third Party Collections, MCCF",0,0,0,0,0
"Compensated Work Therapy, MCCF",Defense,Veterans,Hospital and medical care for veterans (703),"Compensated Work Therapy, MCCF",0,0,0,0,0
Medical Support and Compliance,Defense,Veterans,Hospital and medical care for veterans (703),Medical Support and Compliance,0,0,0,0,0
Medical Services,Defense,Veterans,Hospital and medical care for veterans (703),Medical Services,0,0,0,0,0
Medical Services,Defense,Veterans,Hospital and medical care for veterans (703),Medical Services,0,0,0,0,0
Medical and Prosthetic Research,Defense,Veterans,Hospital and medical care for veterans (703),Medical and Prosthetic Research,0,0,0,0,0
Medical Facilities,Defense,Veterans,Hospital and medical care for veterans (703),Medical Facilities,0,0,0,0,0
DODVA Health Care Sharing Incentive Fund,Defense,Veterans,Hospital and medical care for veterans (703),DODVA Health Care Sharing Incentive Fund,0,0,0,0,0
"Construction, Major Projects",Defense,Veterans,Hospital and medical care for veterans (703),"Construction, Major Projects",0,0,0,0,0
"Construction, Minor Projects",Defense,Veterans,Hospital and medical care for veterans (703),"Construction, Minor Projects",0,0,0,0,0
Grants for Construction of State Extended Care Facilities,Defense,Veterans,Hospital and medical care for veterans (703),Grants for Construction of State Extended Care Facilities,0,0,0,0,0
Housing Negative Subsidies,Defense,Veterans,Veterans housing (704),Housing Negative Subsidies,0,0,0,0,0
Veterans Housing Benefit Program Fund,Defense,Veterans,Veterans housing (704),Veterans Housing Benefit Program Fund,0,0,0,0,0
Veterans Housing Benefit Program Fund,Defense,Veterans,Veterans housing (704),Veterans Housing Benefit Program Fund,0,0,0,0,0
Salaries and Expenses,Defense,Veterans,Other veterans benefits and services (705),Salaries and Expenses,0,0,0,0,0
National Cemetery Administration,Defense,Veterans,Other veterans benefits and services (705),National Cemetery Administration,0,0,0,0,0
General Administration,Defense,Veterans,Other veterans benefits and services (705),General Administration,0,0,0,0,0
Information Technology Systems,Defense,Veterans,Other veterans benefits and services (705),Information Technology Systems,0,0,0,0,0
Office of Inspector General,Defense,Veterans,Other veterans benefits and services (705),Office of Inspector General,0,0,0,0,0
Supply Fund,Defense,Veterans,Other veterans benefits and services (705),Supply Fund,0,0,0,0,0
Current Operations  Veterans Bonuses (Disc. 2005) (E84),Defense,Veterans,Current Operations  Veterans Bonuses (Disc. 2005) (E84),,0,0,0,0,0
Current Operations  State Veterans' Services (E85),Defense,Veterans,Current Operations  State Veterans' Services (E85),,0,0,0,0,0
Construction  State Veterans' Services (F85),Defense,Veterans,Construction  State Veterans' Services (F85),,0,0,0,0,0
Other Capital Outlay  State Veterans' Services (G85),Defense,Veterans,Other Capital Outlay  State Veterans' Services (G85),,0,0,0,0,0
Assistance and Subsidies  Other Veterans Services (J85),Defense,Veterans,Assistance and Subsidies  Other Veterans Services (J85),,0,0,0,0,0
Peacekeeping Operations,Defense,Foreign military aid,International security assistance (152),Peacekeeping Operations,0,0,0,0,0
Economic Support Fund,Defense,Foreign military aid,International security assistance (152),Economic Support Fund,0,0,0,0,0
"Nonproliferation, Antiterrorism, Demining, and Related Programs",Defense,Foreign military aid,International security assistance (152),"Nonproliferation, Antiterrorism, Demining, and Related Programs",0,0,0,0,0
International Military Education and Training,Defense,Foreign military aid,International security assistance (152),International Military Education and Training,0,0,0,0,0
Foreign Military Financing Program,Defense,Foreign military aid,International security assistance (152),Foreign Military Financing Program,0,0,0,0,0
Pakistan Counterinsurgency Capability Fund,Defense,Foreign military aid,International security assistance (152),Pakistan Counterinsurgency Capability Fund,0,0,0,0,0
Foreign Military Loan Liquidating Account,Defense,Foreign military aid,International security assistance (152),Foreign Military Loan Liquidating Account,0,0,0,0,0
International Narcotics Control and Law Enforcement,Defense,Foreign economic aid,International development and humanitarian assistance (151),International Narcotics Control and Law Enforcement,0,0,0,0,0
Global Health Programs,Defense,Foreign economic aid,International development and humanitarian assistance (151),Global Health Programs,0,0,0,0,0
Democracy Fund,Defense,Foreign economic aid,International development and humanitarian assistance (151),Democracy Fund,0,0,0,0,0
Migration and Refugee Assistance,Defense,Foreign economic aid,International development and humanitarian assistance (151),Migration and Refugee Assistance,0,0,0,0,0
Andean Counterdrug Programs,Defense,Foreign economic aid,International development and humanitarian assistance (151),Andean Counterdrug Programs,0,0,0,0,0
Middle East and North Africa Incentive Fund,Defense,Foreign economic aid,International development and humanitarian assistance (151),Middle East and North Africa Incentive Fund,0,0,0,0,0
United States Emergency Refugee and Migration Assistance Fund,Defense,Foreign economic aid,International development and humanitarian assistance (151),United States Emergency Refugee and Migration Assistance Fund,0,0,0,0,0
International Organizations and Programs,Defense,Foreign economic aid,International development and humanitarian assistance (151),International Organizations and Programs,0,0,0,0,0
Global Food Security Fund,Defense,Foreign economic aid,International development and humanitarian assistance (151),Global Food Security Fund,0,0,0,0,0
Contribution to the InterAmerican Development Bank,Defense,Foreign economic aid,International development and humanitarian assistance (151),Contribution to the InterAmerican Development Bank,0,0,0,0,0
Contribution to the International Development Association,Defense,Foreign economic aid,International development and humanitarian assistance (151),Contribution to the International Development Association,0,0,0,0,0
Contribution to the Asian Development Bank,Defense,Foreign economic aid,International development and humanitarian assistance (151),Contribution to the Asian Development Bank,0,0,0,0,0
Contribution to the International Bank for Reconstruction and Development,Defense,Foreign economic aid,International development and humanitarian assistance (151),Contribution to the International Bank for Reconstruction and Development,0,0,0,0,0
Contribution to the African Development Bank,Defense,Foreign economic aid,International development and humanitarian assistance (151),Contribution to the African Development Bank,0,0,0,0,0
Clean Technology Fund,Defense,Foreign economic aid,International development and humanitarian assistance (151),Clean Technology Fund,0,0,0,0,0
Debt Restructuring,Defense,Foreign economic aid,International development and humanitarian assistance (151),Debt Restructuring,0,0,0,0,0
Operating Expenses of the Agency for International Development,Defense,Foreign economic aid,International development and humanitarian assistance (151),Operating Expenses of the Agency for International Development,0,0,0,0,0
"Operating Expenses, Office of Inspector General",Defense,Foreign economic aid,International development and humanitarian assistance (151),"Operating Expenses, Office of Inspector General",0,0,0,0,0
Development Assistance Program,Defense,Foreign economic aid,International development and humanitarian assistance (151),Development Assistance Program,0,0,0,0,0
HIV/AIDS Working Capital Fund,Defense,Foreign economic aid,International development and humanitarian assistance (151),HIV/AIDS Working Capital Fund,0,0,0,0,0
International Disaster Assistance,Defense,Foreign economic aid,International development and humanitarian assistance (151),International Disaster Assistance,0,0,0,0,0
Development Credit Authority Program Account,Defense,Foreign economic aid,International development and humanitarian assistance (151),Development Credit Authority Program Account,0,0,0,0,0
Capital Investment Fund of the United States Agency for International Development.,Defense,Foreign economic aid,International development and humanitarian assistance (151),Capital Investment Fund of the United States Agency for International Development.,0,0,0,0,0
"Assistance for Europe, Eurasia and Central Asia",Defense,Foreign economic aid,International development and humanitarian assistance (151),"Assistance for Europe, Eurasia and Central Asia",0,0,0,0,0
Economic Assistance Loans Liquidating Account,Defense,Foreign economic aid,International development and humanitarian assistance (151),Economic Assistance Loans Liquidating Account,0,0,0,0,0
Overseas Private Investment Corporation Program Account,Defense,Foreign economic aid,International development and humanitarian assistance (151),Overseas Private Investment Corporation Program Account,0,0,0,0,0
"Overseas Private Investment Corporation Loans, Negative Subsidies",Defense,Foreign economic aid,International development and humanitarian assistance (151),"Overseas Private Investment Corporation Loans, Negative Subsidies",0,0,0,0,0
Overseas Private Investment Corporation Noncredit Account,Defense,Foreign economic aid,International development and humanitarian assistance (151),Overseas Private Investment Corporation Noncredit Account,0,0,0,0,0
Trade and Development Agency,Defense,Foreign economic aid,International development and humanitarian assistance (151),Trade and Development Agency,0,0,0,0,0
Peace Corps,Defense,Foreign economic aid,International development and humanitarian assistance (151),Peace Corps,0,0,0,0,0
Millennium Challenge Corporation,Defense,Foreign economic aid,International development and humanitarian assistance (151),Millennium Challenge Corporation,0,0,0,0,0
"Expenses, Public Law 480, Foreign Assistance Programs, Agriculture Liquidating Account",Defense,Foreign economic aid,International development and humanitarian assistance (151),"Expenses, Public Law 480, Foreign Assistance Programs, Agriculture Liquidating Account",0,0,0,0,0
Food for Peace Title II Grants,Defense,Foreign economic aid,International development and humanitarian assistance (151),Food for Peace Title II Grants,0,0,0,0,0
McGovernDole International Food for Education and Child Nutrition Program,Defense,Foreign economic aid,International development and humanitarian assistance (151),McGovernDole International Food for Education and Child Nutrition Program,0,0,0,0,0
"Federal Contributions, Foreign Service Retirement and Disability Fund",Defense,Foreign economic aid,Conduct of foreign affairs (153),"Federal Contributions, Foreign Service Retirement and Disability Fund",0,0,0,0,0
Contributions for International Peacekeeping Activities,Defense,Foreign economic aid,Conduct of foreign affairs (153),Contributions for International Peacekeeping Activities,0,0,0,0,0
Contributions to International Organizations,Defense,Foreign economic aid,Conduct of foreign affairs (153),Contributions to International Organizations,0,0,0,0,0
Diplomatic and Consular Programs,Defense,Foreign economic aid,Conduct of foreign affairs (153),Diplomatic and Consular Programs,0,0,0,0,0
Capital Investment Fund,Defense,Foreign economic aid,Conduct of foreign affairs (153),Capital Investment Fund,0,0,0,0,0
Conflict Stabilization Operations,Defense,Foreign economic aid,Conduct of foreign affairs (153),Conflict Stabilization Operations,0,0,0,0,0
Working Capital Fund,Defense,Foreign economic aid,Conduct of foreign affairs (153),Working Capital Fund,0,0,0,0,0
Office of the Inspector General,Defense,Foreign economic aid,Conduct of foreign affairs (153),Office of the Inspector General,0,0,0,0,0
"Embassy Security, Construction, and Maintenance",Defense,Foreign economic aid,Conduct of foreign affairs (153),"Embassy Security, Construction, and Maintenance",0,0,0,0,0
Payment to Foreign Service Retirement and Disability Fund,Defense,Foreign economic aid,Conduct of foreign affairs (153),Payment to Foreign Service Retirement and Disability Fund,0,0,0,0,0
Salaries and Expenses,Defense,Foreign economic aid,Conduct of foreign affairs (153),Salaries and Expenses,0,0,0,0,0
National Endowment for Democracy,Defense,Foreign economic aid,Foreign information and exchange activities (154),National Endowment for Democracy,0,0,0,0,0
Educational and Cultural Exchange Programs,Defense,Foreign economic aid,Foreign information and exchange activities (154),Educational and Cultural Exchange Programs,0,0,0,0,0
International Broadcasting Operations,Defense,Foreign economic aid,Foreign information and exchange activities (154),International Broadcasting Operations,0,0,0,0,0
Exchange Stabilization Fund,Defense,Foreign economic aid,International financial programs (155),Exchange Stabilization Fund,0,0,0,0,0
"Deposits, Advances, Foreign Military Sales Trust Fund",Defense,Foreign economic aid,International financial programs (155),"Deposits, Advances, Foreign Military Sales Trust Fund",0,0,0,0,0
Foreign Military Sales Trust Fund,Defense,Foreign economic aid,International financial programs (155),Foreign Military Sales Trust Fund,0,0,0,0,0
ExportImport Bank Loans Program Account,Defense,Foreign economic aid,International financial programs (155),ExportImport Bank Loans Program Account,0,0,0,0,0
"ExportImport Bank Loans, Negative Subsidies",Defense,Foreign economic aid,International financial programs (155),"ExportImport Bank Loans, Negative Subsidies",0,0,0,0,0
International cooperation (156),Defense,Foreign economic aid,International cooperation (156),,0,0,0,0,0
R&D Defence,Defense,R&D Defence,,,0,0,0,0,0
Defense Overseas Contingency Operations (059),Defense,Defence n.e.c.,Defense Overseas Contingency Operations (059),,0,0,0,0,0
Emergency Food and Shelter,Welfare,Family and children,Food and nutrition assistance (605),Emergency Food and Shelter,0,0,0,0,0
"Funds for Strengthening Markets, Income, and Supply (section 32)",Welfare,Family and children,Food and nutrition assistance (605),"Funds for Strengthening Markets, Income, and Supply (section 32)",0,0,0,0,0
Supplemental Nutrition Assistance Program,Welfare,Family and children,Food and nutrition assistance (605),Supplemental Nutrition Assistance Program,0,0,0,0,0
Supplemental Nutrition Assistance Program,Welfare,Family and children,Food and nutrition assistance (605),Supplemental Nutrition Assistance Program,0,0,0,0,0
Commodity Assistance Program,Welfare,Family and children,Food and nutrition assistance (605),Commodity Assistance Program,0,0,0,0,0
Nutrition Programs Administration,Welfare,Family and children,Food and nutrition assistance (605),Nutrition Programs Administration,0,0,0,0,0
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",Welfare,Family and children,Food and nutrition assistance (605),"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",0,0,0,0,0
Child Nutrition Programs,Welfare,Family and children,Food and nutrition assistance (605),Child Nutrition Programs,0,0,0,0,0
Child Nutrition Programs,Welfare,Family and children,Food and nutrition assistance (605),Child Nutrition Programs,0,0,0,0,0
"Current Operations  Welfare, Federal Categorical Assistance Programs (Disc. 2005) (E67)",Welfare,Family and children,"Current Operations  Welfare, Federal Categorical Assistance Programs (Disc. 2005) (E67)",,0,0,0,0,0
"Current Operations  Welfare, Cash Assistance  Other (Disc. 2005) (E68)",Welfare,Family and children,"Current Operations  Welfare, Cash Assistance  Other (Disc. 2005) (E68)",,0,0,0,0,0
"Assistance and Subsidies  Public Welfare, Federal Categorical Assistance Programs (J67)",Welfare,Family and children,"Assistance and Subsidies  Public Welfare, Federal Categorical Assistance Programs (J67)",,0,0,0,0,0
"Assistance and Subsidies  Public Welfare, Cash Assistance Programs  Other (J68)",Welfare,Family and children,"Assistance and Subsidies  Public Welfare, Cash Assistance Programs  Other (J68)",,0,0,0,0,0
"Deposits by Federal Agencies to the Federal Employees Compensation Account, Unemployment Trust Fund",Welfare,Unemployment,Unemployment compensation (603),"Deposits by Federal Agencies to the Federal Employees Compensation Account, Unemployment Trust Fund",0,0,0,0,0
"Payments from the General Fund for Administrative Cost for Extended Unemployment Benefit, Unemployment Trust Fund",Welfare,Unemployment,Unemployment compensation (603),"Payments from the General Fund for Administrative Cost for Extended Unemployment Benefit, Unemployment Trust Fund",0,0,0,0,0
Payments to the Unemployment Trust Fund,Welfare,Unemployment,Unemployment compensation (603),Payments to the Unemployment Trust Fund,0,0,0,0,0
State Unemployment Insurance and Employment Service Operations,Welfare,Unemployment,Unemployment compensation (603),State Unemployment Insurance and Employment Service Operations,0,0,0,0,0
Federal Unemployment Benefits and Allowances,Welfare,Unemployment,Unemployment compensation (603),Federal Unemployment Benefits and Allowances,0,0,0,0,0
Unemployment Trust Fund,Welfare,Unemployment,Unemployment compensation (603),Unemployment Trust Fund,0,0,0,0,0
Unemployment Trust Fund,Welfare,Unemployment,Unemployment compensation (603),Unemployment Trust Fund,0,0,0,0,0
Unemployment Trust Fund,Welfare,Unemployment,Unemployment compensation (603),Unemployment Trust Fund,0,0,0,0,0
Unemployment Trust Fund,Welfare,Unemployment,Unemployment compensation (603),Unemployment Trust Fund,0,0,0,0,0
Railroad Unemployment Insurance Trust Fund,Welfare,Unemployment,Unemployment compensation (603),Railroad Unemployment Insurance Trust Fund,0,0,0,0,0
Federal Intergovernmental  Employment Security Administration (B22),Welfare,Unemployment,Federal Intergovernmental  Employment Security Administration (B22),,0,0,0,0,0
Current Operations  Social Insurance Administration (E22),Welfare,Unemployment,Current Operations  Social Insurance Administration (E22),,0,0,0,0,0
Construction  Social Insurance Administration (F22),Welfare,Unemployment,Construction  Social Insurance Administration (F22),,0,0,0,0,0
Other Capital Outlay  Social Insurance Administration (G22),Welfare,Unemployment,Other Capital Outlay  Social Insurance Administration (G22),,0,0,0,0,0
Unemployment Compensation  Benefit Payments (Y05),Welfare,Unemployment trust,Unemployment Compensation  Benefit Payments (Y05),,0,0,0,0,0
Unemployment Compensation  Extended and Special Payments (Y06),Welfare,Unemployment trust,Unemployment Compensation  Extended and Special Payments (Y06),,0,0,0,0,0
Salaries and Expenses,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Salaries and Expenses,0,0,0,0,0
Pension Benefit Guaranty Corporation Fund,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Pension Benefit Guaranty Corporation Fund,0,0,0,0,0
Special Benefits for Disabled Coal Miners,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Special Benefits for Disabled Coal Miners,0,0,0,0,0
Black Lung Disability Trust Fund,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Black Lung Disability Trust Fund,0,0,0,0,0
Special Workers' Compensation Expenses,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Special Workers' Compensation Expenses,0,0,0,0,0
Interest Payments on Repayable Advances to the Black Lung Disability Trust Fund,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Interest Payments on Repayable Advances to the Black Lung Disability Trust Fund,0,0,0,0,0
Payment of Interest on Advances to the Railroad Retirement Board,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Payment of Interest on Advances to the Railroad Retirement Board,0,0,0,0,0
Federal Payment to the District of Columbia Pension Fund,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Federal Payment to the District of Columbia Pension Fund,0,0,0,0,0
"Federal Contribution, DC Federal Pension Fund",Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),"Federal Contribution, DC Federal Pension Fund",0,0,0,0,0
District of Columbia Federal Pension Fund,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),District of Columbia Federal Pension Fund,0,0,0,0,0
Federal Payments to the Railroad Retirement Accounts,Welfare,Workers compensation,General retirement and disability insurance (excluding social security (Disc. 2005) (601),Federal Payments to the Railroad Retirement Accounts,0,0,0,0,0
