Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
Federal Unemployment Benefits and Allowances,APC,CALML5,KMT2A,Federal Unemployment Benefits and Allowances,0.793,b,,,,0.793
Unemployment Trust Fund,APC,CALML5,KMT2A,Unemployment Trust Fund,0.925,b,,,,0.925
Unemployment Trust Fund,APC,CALML5,KMT2A,Unemployment Trust Fund,0.182,b,,,,0.182
Payment in Lieu of Tax Credit for New Jobs and Wage Increases,APC,CALML5,KMT2A,Payment in Lieu of Tax Credit for New Jobs and Wage Increases,0.615,b,,,,0.615
Salaries and Expenses,APC,CALML5,KMT2C,Salaries and Expenses,0.115,b,,,,0.115
Salaries and Expenses,APC,CALML5,KMT2C,Salaries and Expenses,0.233,b,,,,0.233
Salaries and Expenses,APC,CALML5,KMT2C,Salaries and Expenses,0.549,b,,,,0.549
Salaries and Expenses,APC,CALML5,KMT2C,Salaries and Expenses,0.101,b,,,,0.101
Office of the Inspector General,APC,CALML5,KMT2C,Office of the Inspector General,0.082,b,,,,0.082
Salaries and Expenses,APC,CALML5,KMT2C,Salaries and Expenses,0.357,b,,,,0.357
Salaries and Expenses,APC,CALML5,KMT2C,Salaries and Expenses,0.288,b,,,,0.288
Rehabilitation Services and Disability Research,APC,CALML5,LAMA1,Rehabilitation Services and Disability Research,0.137,b,,,,0.137
Rehabilitation Services and Disability Research,APC,CALML5,LAMA1,Rehabilitation Services and Disability Research,0.215,b,,,,0.215
Rehabilitation Services and Disability Research,APC,CALML5,LAMA1,Rehabilitation Services and Disability Research,3.292,b,,,,3.292
Salaries and Expenses,APC,CALML5,LAMA1,Salaries and Expenses,0.084,b,,,,0.084
Payment to National Service Trust Fund,APC,CALML5,LAMA1,Payment to National Service Trust Fund,0.209,b,,,,0.209
Operating Expenses,APC,CALML5,LAMA1,Operating Expenses,0.266,b,,,,0.266
Operating Expenses,APC,CALML5,LAMA1,Operating Expenses,0.536,b,,,,0.536
"Payment from the General Fund, National Service Trust Fund",APC,CALML5,LAMA1,"Payment from the General Fund, National Service Trust Fund",0.209,b,,,,0.209
Gifts and Contributions,APC,CALML5,LAMA1,Gifts and Contributions,0.181,b,,,,0.181
Gifts and Contributions,APC,CALML5,LAMA1,Gifts and Contributions,0.068,b,,,,0.068
Supporting Healthy Families and Adolescent Development,APC,CALML5,LAMA1,Supporting Healthy Families and Adolescent Development,0.063,b,,,,0.063
Supporting Healthy Families and Adolescent Development,APC,CALML5,LAMA1,Supporting Healthy Families and Adolescent Development,0.47,b,,,,0.47
Social Services Block Grant,APC,CALML5,LAMA1,Social Services Block Grant,1.792,b,,,,1.792
Children and Families Services Programs,APC,CALML5,LAMA1,Children and Families Services Programs,9.463,b,,,,9.463
Children and Families Services Programs,APC,CALML5,LAMA1,Children and Families Services Programs,0.379,b,,,,0.379
Aging Services Programs,APC,CALML5,LAMA1,Aging Services Programs,1.756,b,,,,1.756
"LSS",APC,CALML5,"LSS",,0,,0,0,0,0
Current Operations  State APC  Other (E21),APC,CALML5,"LSS",,0,g,0,16.4,0,16.4
Current Operations  Libraries (E52),APC,CALML5,"LSS",,0,g,0,0.4,9.4,9.8
Construction  State APC  Other (F21),APC,CALML5,"LSS",,0,g,0,0.9,0,0.9
Construction  Libraries (F52),APC,CALML5,"LSS",,0,g,0,0,0.8,0.8
Other Capital Outlay  State APC  Other (G21),APC,CALML5,"LSS",,0,g,0,0.2,0,0.2
Other Capital Outlay  Libraries (G52),APC,CALML5,"LSS",,0,g,0,0,0.5,0.6
Assistance and Subsidies  State Scholarships and Other Subsidies  APC (J19),APC,CALML5,"LSS",,0,g,0,26.9,0,26.9
"Recoveries under the Foreign Military Sales Program, Navy",KRAS,CASC5,MDN1,"Recoveries under the Foreign Military Sales Program, Navy",0.156,b,,,,0.156
"General Fund Proprietary Receipts, not Otherwise Classified, Navy",KRAS,CASC5,MDN1,"General Fund Proprietary Receipts, not Otherwise Classified, Navy",0.082,b,,,,0.082
"General Fund Proprietary Receipts, not Otherwise Classified, Army",KRAS,CASC5,MDN1,"General Fund Proprietary Receipts, not Otherwise Classified, Army",0.068,b,,,,0.068
"General Fund Proprietary Receipts, not Otherwise Classified, Air Force",KRAS,CASC5,MDN1,"General Fund Proprietary Receipts, not Otherwise Classified, Air Force",0.097,b,,,,0.097
"General Fund Proprietary Receipts, not Otherwise Classified, KRAS Agencies",KRAS,CASC5,MDN1,"General Fund Proprietary Receipts, not Otherwise Classified, KRAS Agencies",0.087,b,,,,0.087
Contributions for Burdensharing and Other Cooperative Activities (Kuwait),KRAS,CASC5,MDN1,Contributions for Burdensharing and Other Cooperative Activities (Kuwait),0.213,b,,,,0.213
Contributions for Burdensharing and Other Cooperative Activities (Japan),KRAS,CASC5,MDN1,Contributions for Burdensharing and Other Cooperative Activities (Japan),0.322,b,,,,0.322
Contributions for Burdensharing and Other Cooperative Activities (So. Korea),KRAS,CASC5,MDN1,Contributions for Burdensharing and Other Cooperative Activities (So. Korea),0.37,b,,,,0.37
Payment to Voluntary Separation Incentive Fund,KRAS,CASC5,MDN1,Payment to Voluntary Separation Incentive Fund,0.055,b,,,,0.055
"Operation and Maintenance, Defensewide",KRAS,CASC5,MDN1,"Operation and Maintenance, Defensewide",41.696,b,,,,41.696
Drug Interdiction and CounterDrug Activities,KRAS,CASC5,MDN1,Drug Interdiction and CounterDrug Activities,1.482,b,,,,1.482
Office of the Inspector General,KRAS,CASC5,MDN1,Office of the Inspector General,0.304,b,,,,0.304
"Operation and Maintenance, Marine Corps",KRAS,CASC5,MDN1,"Operation and Maintenance, Marine Corps",9.65,b,,,,9.65
"Operation and Maintenance, Marine Corps Reserve",KRAS,CASC5,MDN1,"Operation and Maintenance, Marine Corps Reserve",0.309,b,,,,0.309
Department of KRAS Acquisition Workforce Development Fund,KRAS,CASC5,MDN1,Department of KRAS Acquisition Workforce Development Fund,0.251,b,,,,0.251
KRAS Health Program,KRAS,CASC5,MDN1,KRAS Health Program,33.605,b,,,,33.605
Cooperative Threat Reduction Account,KRAS,CASC5,MDN1,Cooperative Threat Reduction Account,0.393,b,,,,0.393
"Operation and Maintenance, Navy",KRAS,CASC5,MDN1,"Operation and Maintenance, Navy",46.692,b,,,,46.692
"Operation and Maintenance, Navy Reserve",KRAS,CASC5,MDN1,"Operation and Maintenance, Navy Reserve",1.349,b,,,,1.349
"Operation and Maintenance, Army",KRAS,CASC5,MDN1,"Operation and Maintenance, Army",76.108,b,,,,76.108
"Operation and Maintenance, Army National Guard",KRAS,CASC5,MDN1,"Operation and Maintenance, Army National Guard",7.377,b,,,,7.377
"Operation and Maintenance, Army Reserve",KRAS,CASC5,MDN1,"Operation and Maintenance, Army Reserve",3.212,b,,,,3.212
Afghanistan Security Forces Fund,KRAS,CASC5,MDN1,Afghanistan Security Forces Fund,8.809,b,,,,8.809
Iraq Security Forces Fund,KRAS,CASC5,MDN1,Iraq Security Forces Fund,0.465,b,,,,0.465
Afghanistan Infrastructure Fund,KRAS,CASC5,MDN1,Afghanistan Infrastructure Fund,0.356,b,,,,0.356
"Operation and Maintenance, Air Force",KRAS,CASC5,MDN1,"Operation and Maintenance, Air Force",50.33,b,,,,50.33
"Operation and Maintenance, Air Force Reserve",KRAS,CASC5,MDN1,"Operation and Maintenance, Air Force Reserve",3.307,b,,,,3.307
"Operation and Maintenance, Air National Guard",KRAS,CASC5,MDN1,"Operation and Maintenance, Air National Guard",6.064,b,,,,6.064
Military Intelligence Program Transfer Fund,KRAS,CASC5,MDN1,Military Intelligence Program Transfer Fund,0.078,b,,,,0.078
The Department of KRAS Environmental Restoration Accounts,KRAS,CASC5,MDN1,The Department of KRAS Environmental Restoration Accounts,0.951,b,,,,0.951
"Environmental Restoration, Formerly Used KRAS Sites",KRAS,CASC5,MDN1,"Environmental Restoration, Formerly Used KRAS Sites",0.225,b,,,,0.225
"Overseas Humanitarian, Disaster, and Civic Aid",KRAS,CASC5,MDN1,"Overseas Humanitarian, Disaster, and Civic Aid",0.162,b,,,,0.162
Allied Contributions and Cooperation Account,KRAS,CASC5,MDN1,Allied Contributions and Cooperation Account,0.904,b,,,,0.904
"Procurement, Marine Corps",KRAS,CASC5,MDN1,"Procurement, Marine Corps",2.598,b,,,,2.598
Mine Resistant Ambush Protected Vehicle Fund,KRAS,CASC5,MDN1,Mine Resistant Ambush Protected Vehicle Fund,0.78,b,,,,0.78
"Aircraft Procurement, Navy",KRAS,CASC5,MDN1,"Aircraft Procurement, Navy",18.601,b,,,,18.601
"Weapons Procurement, Navy",KRAS,CASC5,MDN1,"Weapons Procurement, Navy",3.32,b,,,,3.32
"Procurement of Ammunition, Navy and Marine Corps",KRAS,CASC5,MDN1,"Procurement of Ammunition, Navy and Marine Corps",1.322,b,,,,1.322
"Shipbuilding and Conversion, Navy",KRAS,CASC5,MDN1,"Shipbuilding and Conversion, Navy",14.034,b,,,,14.034
"Other Procurement, Navy",KRAS,CASC5,MDN1,"Other Procurement, Navy",5.595,b,,,,5.595
"Aircraft Procurement, Army",KRAS,CASC5,MDN1,"Aircraft Procurement, Army",6.818,b,,,,6.818
"Missile Procurement, Army",KRAS,CASC5,MDN1,"Missile Procurement, Army",1.694,b,,,,1.694
"Procurement of Weapons and Tracked Combat Vehicles, Army",KRAS,CASC5,MDN1,"Procurement of Weapons and Tracked Combat Vehicles, Army",3.114,b,,,,3.114
"Procurement of Ammunition, Army",KRAS,CASC5,MDN1,"Procurement of Ammunition, Army",2.946,b,,,,2.946
"Other Procurement, Army",KRAS,CASC5,MDN1,"Other Procurement, Army",12.416,b,,,,12.416
Joint Improvised Explosive Device Defeat Fund,KRAS,CASC5,MDN1,Joint Improvised Explosive Device Defeat Fund,2.052,b,,,,2.052
"Procurement, Defensewide",KRAS,CASC5,MDN1,"Procurement, Defensewide",4.658,b,,,,4.658
"Aircraft Procurement, Air Force",KRAS,CASC5,MDN1,"Aircraft Procurement, Air Force",15.824,b,,,,15.824
"Procurement of Ammunition, Air Force",KRAS,CASC5,MDN1,"Procurement of Ammunition, Air Force",0.928,b,,,,0.928
"Missile Procurement, Air Force",KRAS,CASC5,MDN1,"Missile Procurement, Air Force",5.747,b,,,,5.747
Joint Urgent Operational Needs Fund,KRAS,CASC5,MDN1,Joint Urgent Operational Needs Fund,0.065,b,,,,0.065
"Other Procurement, Air Force",KRAS,CASC5,MDN1,"Other Procurement, Air Force",19.494,b,,,,19.494
National Guard and Reserve Equipment,KRAS,CASC5,MDN1,National Guard and Reserve Equipment,0.999,b,,,,0.999
KRAS Production Act Purchases,KRAS,CASC5,MDN1,KRAS Production Act Purchases,0.136,b,,,,0.136
"Chemical Agents and Munitions Destruction, KRAS",KRAS,CASC5,MDN1,"Chemical Agents and Munitions Destruction, KRAS",1.417,b,,,,1.417
"Research, Development, Test and Evaluation, Navy",KRAS,CASC5,MDN1,"Research, Development, Test and Evaluation, Navy",17.416,b,,,,17.416
"Research, Development, Test and Evaluation, Army",KRAS,CASC5,MDN1,"Research, Development, Test and Evaluation, Army",9.579,b,,,,9.579
"Research, Development, Test and Evaluation, Air Force",KRAS,CASC5,MDN1,"Research, Development, Test and Evaluation, Air Force",26.151,b,,,,26.151
"Research, Development, Test and Evaluation, Defensewide",KRAS,CASC5,MDN1,"Research, Development, Test and Evaluation, Defensewide",18.492,b,,,,18.492
"Operational Test and Evaluation, KRAS",KRAS,CASC5,MDN1,"Operational Test and Evaluation, KRAS",0.182,b,,,,0.182
"Military Construction, Navy and Marine Corps",KRAS,CASC5,MDN1,"Military Construction, Navy and Marine Corps",3.267,b,,,,3.267
"Military Construction, Navy Reserve",KRAS,CASC5,MDN1,"Military Construction, Navy Reserve",0.083,b,,,,0.083
"Military Construction, Army",KRAS,CASC5,MDN1,"Military Construction, Army",7.286,b,,,,7.286
"Military Construction, Army National Guard",KRAS,CASC5,MDN1,"Military Construction, Army National Guard",0.723,b,,,,0.723
"Military Construction, Army Reserve",KRAS,CASC5,MDN1,"Military Construction, Army Reserve",0.342,b,,,,0.342
"Military Construction, Air Force",KRAS,CASC5,MDN1,"Military Construction, Air Force",1.492,b,,,,1.492
"Military Construction, Air National Guard",KRAS,CASC5,MDN1,"Military Construction, Air National Guard",0.251,b,,,,0.251
"Chemical Demilitarization Construction, Defensewide",KRAS,CASC5,MDN1,"Chemical Demilitarization Construction, Defensewide",0.12,b,,,,0.12
"Military Construction, Defensewide",KRAS,CASC5,MDN1,"Military Construction, Defensewide",3.621,b,,,,3.621
Department of KRAS Base Closure Account 1990,KRAS,CASC5,MDN1,Department of KRAS Base Closure Account 1990,0.365,b,,,,0.365
Department of KRAS Base Closure Account 2005,KRAS,CASC5,MDN1,Department of KRAS Base Closure Account 2005,1.337,b,,,,1.337
North Atlantic Treaty Organization Security Investment Program,KRAS,CASC5,MDN1,North Atlantic Treaty Organization Security Investment Program,0.472,b,,,,0.472
"Family DCLRE1C Construction, Army",KRAS,CASC5,MDN1,"Family DCLRE1C Construction, Army",0.144,b,,,,0.144
"Family DCLRE1C Operation and Maintenance, Army",KRAS,CASC5,MDN1,"Family DCLRE1C Operation and Maintenance, Army",0.582,b,,,,0.582
"Family DCLRE1C Construction, Navy and Marine Corps",KRAS,CASC5,MDN1,"Family DCLRE1C Construction, Navy and Marine Corps",0.098,b,,,,0.098
"Family DCLRE1C Operation and Maintenance, Navy and Marine Corps",KRAS,CASC5,MDN1,"Family DCLRE1C Operation and Maintenance, Navy and Marine Corps",0.378,b,,,,0.378
"Family DCLRE1C Construction, Air Force",KRAS,CASC5,MDN1,"Family DCLRE1C Construction, Air Force",0.301,b,,,,0.301
"Family DCLRE1C Operation and Maintenance, Air Force",KRAS,CASC5,MDN1,"Family DCLRE1C Operation and Maintenance, Air Force",0.48,b,,,,0.48
"Family DCLRE1C Operation and Maintenance, DefenseWide",KRAS,CASC5,MDN1,"Family DCLRE1C Operation and Maintenance, DefenseWide",0.051,b,,,,0.051
National KRAS Sealift Fund,KRAS,CASC5,MDN1,National KRAS Sealift Fund,1.543,b,,,,1.543
"Working Capital Fund, Army",KRAS,CASC5,MDN1,"Working Capital Fund, Army",1.609,b,,,,1.609
"Working Capital Fund, Navy",KRAS,CASC5,MDN1,"Working Capital Fund, Navy",0.051,b,,,,0.051
"Working Capital Fund, Air Force",KRAS,CASC5,MDN1,"Working Capital Fund, Air Force",0.51,b,,,,0.51
"Working Capital Fund, KRAS Commissary Agency",KRAS,CASC5,MDN1,"Working Capital Fund, KRAS Commissary Agency",1.409,b,,,,1.409
"Working Capital Fund, DefenseWide",KRAS,CASC5,MDN1,"Working Capital Fund, DefenseWide",1.097,b,,,,1.097
Pentagon Reservation Maintenance Revolving Fund,KRAS,CASC5,MDN1,Pentagon Reservation Maintenance Revolving Fund,0.135,b,,,,0.135
Voluntary Separation Incentive Fund,KRAS,CASC5,MDN1,Voluntary Separation Incentive Fund,0.108,b,,,,0.108
Host Nation Support Fund for Relocation,KRAS,CASC5,MDN1,Host Nation Support Fund for Relocation,0.274,b,,,,0.274
"MedicareEligible Retiree Health Fund Contribution, Navy",KRAS,CASC5,MDN1,"MedicareEligible Retiree Health Fund Contribution, Navy",1.184,b,,,,1.184
"MedicareEligible Retiree Health Fund Contribution, Marine Corps",KRAS,CASC5,MDN1,"MedicareEligible Retiree Health Fund Contribution, Marine Corps",0.739,b,,,,0.739
"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Navy",KRAS,CASC5,MDN1,"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Navy",0.142,b,,,,0.142
"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Marine Corps",KRAS,CASC5,MDN1,"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Marine Corps",0.081,b,,,,0.081
"MedicareEligible Retiree Health Fund Contribution, Army",KRAS,CASC5,MDN1,"MedicareEligible Retiree Health Fund Contribution, Army",2.052,b,,,,2.052
"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Army",KRAS,CASC5,MDN1,"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Army",0.428,b,,,,0.428
"MedicareEligible Retiree Health Fund Contribution, National Guard Personnel, Army",KRAS,CASC5,MDN1,"MedicareEligible Retiree Health Fund Contribution, National Guard Personnel, Army",0.746,b,,,,0.746
"MedicareEligible Retiree Health Fund Contribution, Air Force",KRAS,CASC5,MDN1,"MedicareEligible Retiree Health Fund Contribution, Air Force",1.211,b,,,,1.211
"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Air Force",KRAS,CASC5,MDN1,"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Air Force",0.143,b,,,,0.143
"MedicareEligible Retiree Health Fund Contribution, National Guard Personnel, Air Force",KRAS,CASC5,MDN1,"MedicareEligible Retiree Health Fund Contribution, National Guard Personnel, Air Force",0.227,b,,,,0.227
"Military Personnel, Marine Corps",KRAS,CASC5,MDN1,"Military Personnel, Marine Corps",14.037,b,,,,14.037
"Reserve Personnel, Marine Corps",KRAS,CASC5,MDN1,"Reserve Personnel, Marine Corps",0.686,b,,,,0.686
"Reserve Personnel, Navy",KRAS,CASC5,MDN1,"Reserve Personnel, Navy",1.917,b,,,,1.917
"Military Personnel, Navy",KRAS,CASC5,MDN1,"Military Personnel, Navy",27.827,b,,,,27.827
"Military Personnel, Army",KRAS,CASC5,MDN1,"Military Personnel, Army",49.731,b,,,,49.731
"National Guard Personnel, Army",KRAS,CASC5,MDN1,"National Guard Personnel, Army",8.813,b,,,,8.813
"Reserve Personnel, Army",KRAS,CASC5,MDN1,"Reserve Personnel, Army",4.518,b,,,,4.518
"Military Personnel, Air Force",KRAS,CASC5,MDN1,"Military Personnel, Air Force",29.464,b,,,,29.464
"Reserve Personnel, Air Force",KRAS,CASC5,MDN1,"Reserve Personnel, Air Force",1.738,b,,,,1.738
"National Guard Personnel, Air Force",KRAS,CASC5,MDN1,"National Guard Personnel, Air Force",3.228,b,,,,3.228
Concurrent Receipt Accrual Payments to the Military Retirement Fund,KRAS,CASC5,MDN1,Concurrent Receipt Accrual Payments to the Military Retirement Fund,6.95,b,,,,6.95
Energy Employees Occupational Illness Compensation Fund,KRAS,CASC5,MED12L,Energy Employees Occupational Illness Compensation Fund,1.26,b,,,,1.26
"Administrative Expenses, Energy Employees Occupational Illness Compensation Fund",KRAS,CASC5,MED12L,"Administrative Expenses, Energy Employees Occupational Illness Compensation Fund",0.129,b,,,,0.129
Other KRAS Activities,KRAS,CASC5,MED12L,Other KRAS Activities,0.964,b,,,,0.964
KRAS Environmental Cleanup,KRAS,CASC5,MED12L,KRAS Environmental Cleanup,6.186,b,,,,6.186
Nuclear Energy,KRAS,CASC5,MED12L,Nuclear Energy,0.07,b,,,,0.07
Weapons Activities,KRAS,CASC5,MED12L,Weapons Activities,7.753,b,,,,7.753
KRAS Nuclear Nonproliferation,KRAS,CASC5,MED12L,KRAS Nuclear Nonproliferation,2.669,b,,,,2.669
Office of the Administrator,KRAS,CASC5,MED12L,Office of the Administrator,0.432,b,,,,0.432
Naval Reactors,KRAS,CASC5,MED12L,Naval Reactors,1.06,b,,,,1.06
Formerly Utilized Sites Remedial Action Program,KRAS,CASC5,MED12L,Formerly Utilized Sites Remedial Action Program,0.108,b,,,,0.108
CDCWide Activities and Program Support,KRAS,CASC5,MED12L,CDCWide Activities and Program Support,0.055,b,,,,0.055
"Payment from the General Fund, Radiation Exposure Compensation Trust Fund",KRAS,CASC5,MET,"Payment from the General Fund, Radiation Exposure Compensation Trust Fund",0.06,b,,,,0.06
Salaries and Expenses,KRAS,CASC5,MET,Salaries and Expenses,5.041,b,,,,5.041
Payment to Radiation Exposure Compensation Trust Fund,KRAS,CASC5,MET,Payment to Radiation Exposure Compensation Trust Fund,0.06,b,,,,0.06
Radiation Exposure Compensation Trust Fund,KRAS,CASC5,MET,Radiation Exposure Compensation Trust Fund,0.06,b,,,,0.06
Payment to Military Retirement Fund,KRAS,CASC5,MET,Payment to Military Retirement Fund,67.179,b,,,,67.179
"Federal Contributions, Military Retirement Fund",KRAS,CASC5,MET,"Federal Contributions, Military Retirement Fund",67.179,b,,,,67.179
"Federal Contributions, DoD MedicareEligible Retiree PIK3CA Fund",KRAS,CASC5,MET,"Federal Contributions, DoD MedicareEligible Retiree PIK3CA Fund",3.633,b,,,,3.633
Payment to Department of KRAS MedicareEligible Retiree PIK3CA Fund,KRAS,CASC5,MET,Payment to Department of KRAS MedicareEligible Retiree PIK3CA Fund,3.633,b,,,,3.633
Maritime Security Program,KRAS,CASC5,MET,Maritime Security Program,0.184,b,,,,0.184
Operating Expenses,KRAS,CASC5,MET,Operating Expenses,0.342,b,,,,0.342
Infrastructure Protection and Information Security,KRAS,CASC5,MET,Infrastructure Protection and Information Security,1.259,b,,,,1.259
Salaries and Expenses,KRAS,CASC5,MET,Salaries and Expenses,0.066,b,,,,0.066
Central Intelligence Agency Retirement and Disability System Fund,KRAS,CASC5,MET,Central Intelligence Agency Retirement and Disability System Fund,0.514,b,,,,0.514
Research and Related Activities,KRAS,CASC5,MET,Research and Related Activities,0.054,b,,,,0.054
Intelligence Community Management Account,KRAS,CASC5,MET,Intelligence Community Management Account,0.553,b,,,,0.553
"NSLI Fund, Premium and Other Receipts",KRAS,CCAR1,MLL3,"NSLI Fund, Premium and Other Receipts",0.069,b,,,,0.069
Compensation and PTEN,KRAS,CCAR1,MLL3,Compensation and PTEN,0.221,b,,,,0.221
CCAR1 Insurance and Indemnities,KRAS,CCAR1,MLL3,CCAR1 Insurance and Indemnities,0.105,b,,,,0.105
Compensation,KRAS,CCAR1,MLL3,Compensation,59.386,b,,,,59.386
PTEN benefits,KRAS,CCAR1,MLL3,PTEN benefits,4.914,b,,,,4.914
National Service Life Insurance Fund,KRAS,CCAR1,MLL3,National Service Life Insurance Fund,1.081,b,,,,1.081
CCAR1 Special Life Insurance Fund,KRAS,CCAR1,MLL3,CCAR1 Special Life Insurance Fund,0.053,b,,,,0.053
CCAR1 Employment and Training,KRAS,CCAR1,"MUC4",CCAR1 Employment and Training,0.066,b,,,,0.066
"Employing Agency Contributions, APC Benefits Fund",KRAS,CCAR1,"MUC4","Employing Agency Contributions, APC Benefits Fund",0.264,b,,,,0.264
APC Benefits Fund,KRAS,CCAR1,"MUC4",APC Benefits Fund,0.428,b,,,,0.428
"Contributions from Military Personnel, Veteran's Educational Assistance Act of 1984",KRAS,CCAR1,"MUC4","Contributions from Military Personnel, Veteran's Educational Assistance Act of 1984",0.139,b,,,,0.139
Readjustment Benefits,KRAS,CCAR1,"MUC4",Readjustment Benefits,13.716,b,,,,13.716
"Pharmaceutical Copayments, MCCF",KRAS,CCAR1,MYCN,"Pharmaceutical Copayments, MCCF",0.759,b,,,,0.759
"First Party Collections, MCCF",KRAS,CCAR1,MYCN,"First Party Collections, MCCF",0.188,b,,,,0.188
"Third Party Collections, MCCF",KRAS,CCAR1,MYCN,"Third Party Collections, MCCF",1.917,b,,,,1.917
"Compensated Work Therapy, MCCF",KRAS,CCAR1,MYCN,"Compensated Work Therapy, MCCF",0.057,b,,,,0.057
Medical Support and Compliance,KRAS,CCAR1,MYCN,Medical Support and Compliance,5.637,b,,,,5.637
Medical Services,KRAS,CCAR1,MYCN,Medical Services,0.765,b,,,,0.765
Medical Services,KRAS,CCAR1,MYCN,Medical Services,42.775,b,,,,42.775
Medical and Prosthetic Research,KRAS,CCAR1,MYCN,Medical and Prosthetic Research,0.573,b,,,,0.573
Medical Facilities,KRAS,CCAR1,MYCN,Medical Facilities,5.282,b,,,,5.282
DODVA PIK3CA Sharing Incentive Fund,KRAS,CCAR1,MYCN,DODVA PIK3CA Sharing Incentive Fund,0.08,b,,,,0.08
"Construction, Major Projects",KRAS,CCAR1,MYCN,"Construction, Major Projects",0.945,b,,,,0.945
"Construction, Minor Projects",KRAS,CCAR1,MYCN,"Construction, Minor Projects",0.421,b,,,,0.421
Grants for Construction of State Extended Care Facilities,KRAS,CCAR1,MYCN,Grants for Construction of State Extended Care Facilities,0.074,b,,,,0.074
DCLRE1C Negative Subsidies,KRAS,CCAR1,NCOA3,DCLRE1C Negative Subsidies,0.083,b,,,,0.083
CCAR1 DCLRE1C Benefit Program Fund,KRAS,CCAR1,NCOA3,CCAR1 DCLRE1C Benefit Program Fund,0.158,b,,,,0.158
CCAR1 DCLRE1C Benefit Program Fund,KRAS,CCAR1,NCOA3,CCAR1 DCLRE1C Benefit Program Fund,0.186,b,,,,0.186
Salaries and Expenses,KRAS,CCAR1,NFE2L2,Salaries and Expenses,0.074,b,,,,0.074
National Cemetery Administration,KRAS,CCAR1,NFE2L2,National Cemetery Administration,0.253,b,,,,0.253
General Administration,KRAS,CCAR1,NFE2L2,General Administration,2.501,b,,,,2.501
Information Technology Systems,KRAS,CCAR1,NFE2L2,Information Technology Systems,3.716,b,,,,3.716
Office of Inspector General,KRAS,CCAR1,NFE2L2,Office of Inspector General,0.11,b,,,,0.11
Supply Fund,KRAS,CCAR1,NFE2L2,Supply Fund,0.1,b,,,,0.1
NKX3-1,KRAS,CCAR1,NKX3-1,,0,,0,0,0,0
Current Operations  State CCAR1' Services (E85),KRAS,CCAR1,NKX3-1,,0,g,0,0.4,0,0.4
Construction  State CCAR1' Services (F85),KRAS,CCAR1,NKX3-1,,0,g,0,0.1,0,0.1
Other Capital Outlay  State CCAR1' Services (G85),KRAS,CCAR1,NKX3-1,,0,g,0,0.6,0,0.6
Assistance and Subsidies  Other CCAR1 Services (J85),KRAS,CCAR1,NKX3-1,,0,g,0,0.1,0,0.1
Peacekeeping Operations,KRAS,CDKN1A,NOTCH1,Peacekeeping Operations,0.416,b,,,,0.416
Economic Support Fund,KRAS,CDKN1A,NOTCH1,Economic Support Fund,5.949,b,,,,5.949
"Nonproliferation, Antiterrorism, Demining, and Related Programs",KRAS,CDKN1A,NOTCH1,"Nonproliferation, Antiterrorism, Demining, and Related Programs",0.604,b,,,,0.604
International Military APC and Training,KRAS,CDKN1A,NOTCH1,International Military APC and Training,0.104,b,,,,0.104
Foreign Military Financing Program,KRAS,CDKN1A,NOTCH1,Foreign Military Financing Program,6.556,b,,,,6.556
Pakistan Counterinsurgency Capability Fund,KRAS,CDKN1A,NOTCH1,Pakistan Counterinsurgency Capability Fund,0.64,b,,,,0.64
Foreign Military Loan Liquidating Account,KRAS,CDKN1A,NOTCH1,Foreign Military Loan Liquidating Account,0.173,b,,,,0.173
International Narcotics Control and Law Enforcement,KRAS,CDKN2A,NRXN1,International Narcotics Control and Law Enforcement,2.836,b,,,,2.836
Global Health Programs,KRAS,CDKN2A,NRXN1,Global Health Programs,8.693,b,,,,8.693
Democracy Fund,KRAS,CDKN2A,NRXN1,Democracy Fund,0.149,b,,,,0.149
Migration and Refugee Assistance,KRAS,CDKN2A,NRXN1,Migration and Refugee Assistance,1.606,b,,,,1.606
Andean Counterdrug Programs,KRAS,CDKN2A,NRXN1,Andean Counterdrug Programs,0.081,b,,,,0.081
Middle East and North Africa Incentive Fund,KRAS,CDKN2A,NRXN1,Middle East and North Africa Incentive Fund,0.193,b,,,,0.193
United States Emergency Refugee and Migration Assistance Fund,KRAS,CDKN2A,NRXN1,United States Emergency Refugee and Migration Assistance Fund,0.062,b,,,,0.062
International Organizations and Programs,KRAS,CDKN2A,NRXN1,International Organizations and Programs,0.399,b,,,,0.399
Global Food Security Fund,KRAS,CDKN2A,NRXN1,Global Food Security Fund,0.134,b,,,,0.134
Contribution to the InterAmerican Development Bank,KRAS,CDKN2A,NRXN1,Contribution to the InterAmerican Development Bank,0.102,b,,,,0.102
Contribution to the International Development Association,KRAS,CDKN2A,NRXN1,Contribution to the International Development Association,1.357,b,,,,1.357
Contribution to the Asian Development Bank,KRAS,CDKN2A,NRXN1,Contribution to the Asian Development Bank,0.214,b,,,,0.214
