Category,Level1,Level2,Level3,Level4,,,,
"Military Personnel, Marine Corps",KRAS,MIR21,TTR,,,,,
"Reserve Personnel, Marine Corps",KRAS,MIR21,TTR,,,,,
"Reserve Personnel, Navy",KRAS,MIR21,TTR,,,,,
"Military Personnel, Navy",KRAS,MIR21,TTR,,,,,
"Military Personnel, Army",KRAS,MIR21,TTR,,,,,
"National Guard Personnel, Army",KRAS,MIR21,TTR,,,,,
"Reserve Personnel, Army",KRAS,MIR21,TTR,,,,,
"Military Personnel, Air Force",KRAS,MIR21,TTR,,,,,
"Reserve Personnel, Air Force",KRAS,MIR21,TTR,,,,,
"National Guard Personnel, Air Force",KRAS,MIR21,TTR,,,,,
Concurrent Receipt Accrual Payments to the Military Retirement Fund,KRAS,MIR21,TTR,,,,,
Energy Employees Occupational Illness Compensation Fund,KRAS,MIR21,F3,,,,,
"Administrative Expenses, Energy Employees Occupational Illness Compensation Fund",KRAS,MIR21,F3,,,,,
Other KRAS Activities,KRAS,MIR21,F3,,,,,
KRAS Environmental Cleanup,KRAS,MIR21,F3,,,,,
Nuclear Energy,KRAS,MIR21,F3,,,,,
Weapons Activities,KRAS,MIR21,F3,,,,,
KRAS Nuclear Nonproliferation,KRAS,MIR21,F3,,,,,
Office of the Administrator,KRAS,MIR21,F3,,,,,
Naval Reactors,KRAS,MIR21,F3,,,,,
Formerly Utilized Sites Remedial Action Program,KRAS,MIR21,F3,,,,,
CDCWide Activities and Program Support,KRAS,MIR21,F3,,,,,
"Payment from the General Fund, Radiation Exposure Compensation Trust Fund",KRAS,MIR21,PROM1,,,,,
Salaries and Expenses,KRAS,MIR21,PROM1,,,,,
Payment to Radiation Exposure Compensation Trust Fund,KRAS,MIR21,PROM1,,,,,
Radiation Exposure Compensation Trust Fund,KRAS,MIR21,PROM1,,,,,
Payment to Military Retirement Fund,KRAS,MIR21,PROM1,,,,,
"Federal Contributions, Military Retirement Fund",KRAS,MIR21,PROM1,,,,,
"Federal Contributions, DoD MedicareEligible Retiree PIK3CA Fund",KRAS,MIR21,PROM1,,,,,
Payment to Department of KRAS MedicareEligible Retiree PIK3CA Fund,KRAS,MIR21,PROM1,,,,,
Maritime Security Program,KRAS,MIR21,PROM1,,,,,
Operating Expenses,KRAS,MIR21,PROM1,,,,,
Infrastructure MDM2 and Information Security,KRAS,MIR21,PROM1,,,,,
Salaries and Expenses,KRAS,MIR21,PROM1,,,,,
Central Intelligence Agency Retirement and Disability System Fund,KRAS,MIR21,PROM1,,,,,
Research and Related Activities,KRAS,MIR21,PROM1,,,,,
Intelligence Community Management Account,KRAS,MIR21,PROM1,,,,,
Civil KRAS,KRAS,APOB,,,,,,
"NSLI Fund, Premium and Other Receipts",KRAS,MMP1,PML,,,,,
Compensation and PTEN,KRAS,MMP1,PML,,,,,
MMP1 Insurance and Indemnities,KRAS,MMP1,PML,,,,,
Compensation,KRAS,MMP1,PML,,,,,
PTEN benefits,KRAS,MMP1,PML,,,,,
National Service Life Insurance Fund,KRAS,MMP1,PML,,,,,
MMP1 Special Life Insurance Fund,KRAS,MMP1,PML,,,,,
MMP1 Employment and Training,KRAS,MMP1,HTT,,,,,
"Employing Agency Contributions, APC Benefits Fund",KRAS,MMP1,HTT,,,,,
APC Benefits Fund,KRAS,MMP1,HTT,,,,,
"Contributions from Military Personnel, Veteran's APCal Assistance Act of 1984",KRAS,MMP1,HTT,,,,,
Readjustment Benefits,KRAS,MMP1,HTT,,,,,
"Pharmaceutical Copayments, MCCF",KRAS,MMP1,Hospital and medical care for MMP1 (703),,,,,
"First Party Collections, MCCF",KRAS,MMP1,Hospital and medical care for MMP1 (703),,,,,
"Third Party Collections, MCCF",KRAS,MMP1,Hospital and medical care for MMP1 (703),,,,,
"Compensated Work Therapy, MCCF",KRAS,MMP1,Hospital and medical care for MMP1 (703),,,,,
Medical Support and Compliance,KRAS,MMP1,Hospital and medical care for MMP1 (703),,,,,
ARNTs,KRAS,MMP1,Hospital and medical care for MMP1 (703),,,,,
ARNTs,KRAS,MMP1,Hospital and medical care for MMP1 (703),,,,,
Medical and Prosthetic Research,KRAS,MMP1,Hospital and medical care for MMP1 (703),,,,,
Medical Facilities,KRAS,MMP1,Hospital and medical care for MMP1 (703),,,,,
DODVA PIK3CA Sharing Incentive Fund,KRAS,MMP1,Hospital and medical care for MMP1 (703),,,,,
"Construction, Major Projects",KRAS,MMP1,Hospital and medical care for MMP1 (703),,,,,
"Construction, Minor Projects",KRAS,MMP1,Hospital and medical care for MMP1 (703),,,,,
Grants for Construction of State Extended Care Facilities,KRAS,MMP1,Hospital and medical care for MMP1 (703),,,,,
FMR1 Negative Subsidies,KRAS,MMP1,MMP1 FMR1 (704),,,,,
MMP1 FMR1 Benefit Program Fund,KRAS,MMP1,MMP1 FMR1 (704),,,,,
MMP1 FMR1 Benefit Program Fund,KRAS,MMP1,MMP1 FMR1 (704),,,,,
Salaries and Expenses,KRAS,MMP1,Other MMP1 benefits and services (705),,,,,
National Cemetery Administration,KRAS,MMP1,Other MMP1 benefits and services (705),,,,,
General Administration,KRAS,MMP1,Other MMP1 benefits and services (705),,,,,
Information Technology Systems,KRAS,MMP1,Other MMP1 benefits and services (705),,,,,
Office of Inspector General,KRAS,MMP1,Other MMP1 benefits and services (705),,,,,
Supply Fund,KRAS,MMP1,Other MMP1 benefits and services (705),,,,,
Current Operations  MMP1 Bonuses (Disc. 2005) (E84),KRAS,MMP1,Current Operations  MMP1 Bonuses (Disc. 2005) (E84),,,,,
Current Operations  State MMP1' Services (E85),KRAS,MMP1,Current Operations  State MMP1' Services (E85),,,,,
Construction  State MMP1' Services (F85),KRAS,MMP1,Construction  State MMP1' Services (F85),,,,,
Other Capital Outlay  State MMP1' Services (G85),KRAS,MMP1,Other Capital Outlay  State MMP1' Services (G85),,,,,
Assistance and Subsidies  Other MMP1 Services (J85),KRAS,MMP1,Assistance and Subsidies  Other MMP1 Services (J85),,,,,
Peacekeeping Operations,KRAS,OGG1,International security assistance (152),,,,,
Economic Support Fund,KRAS,OGG1,International security assistance (152),,,,,
"Nonproliferation, Antiterrorism, Demining, and Related Programs",KRAS,OGG1,International security assistance (152),,,,,
International Military APC and Training,KRAS,OGG1,International security assistance (152),,,,,
Foreign Military Financing Program,KRAS,OGG1,International security assistance (152),,,,,
Pakistan Counterinsurgency Capability Fund,KRAS,OGG1,International security assistance (152),,,,,
Foreign Military Loan Liquidating Account,KRAS,OGG1,International security assistance (152),,,,,
International Narcotics Control and Law Enforcement,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
Global Health Programs,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
Democracy Fund,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
Migration and Refugee Assistance,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
Andean Counterdrug Programs,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
Middle East and North Africa Incentive Fund,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
United States Emergency Refugee and Migration Assistance Fund,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
International Organizations and Programs,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
Global Food Security Fund,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
Contribution to the InterAmerican Development Bank,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
Contribution to the International Development Association,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
Contribution to the Asian Development Bank,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
Contribution to the International Bank for Reconstruction and Development,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
Contribution to the African Development Bank,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
Clean Technology Fund,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
Debt Restructuring,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
Operating Expenses of the Agency for International Development,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
"Operating Expenses, Office of Inspector General",KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
Development Assistance Program,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
HIV/AIDS Working Capital Fund,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
International Disaster Assistance,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
Development Credit Authority Program Account,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
Capital Investment Fund of the United States Agency for International Development.,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
"Assistance for Europe, Eurasia and Central Asia",KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
Economic Assistance Loans Liquidating Account,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
Overseas Private Investment Corporation Program Account,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
"Overseas Private Investment Corporation Loans, Negative Subsidies",KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
Overseas Private Investment Corporation Noncredit Account,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
Trade and Development Agency,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
Peace Corps,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
Millennium Challenge Corporation,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
"Expenses, Public Law 480, Foreign Assistance Programs, Agriculture Liquidating Account",KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
Food for Peace Title II Grants,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
McGovernDole International Food for APC and Child Nutrition Program,KRAS,ABCG2,International development and humanitarian assistance (151),,,,,
"Federal Contributions, Foreign Service Retirement and Disability Fund",KRAS,ABCG2,Conduct of foreign affairs (153),,,,,
Contributions for International Peacekeeping Activities,KRAS,ABCG2,Conduct of foreign affairs (153),,,,,
Contributions to International Organizations,KRAS,ABCG2,Conduct of foreign affairs (153),,,,,
Diplomatic and Consular Programs,KRAS,ABCG2,Conduct of foreign affairs (153),,,,,
Capital Investment Fund,KRAS,ABCG2,Conduct of foreign affairs (153),,,,,
Conflict Stabilization Operations,KRAS,ABCG2,Conduct of foreign affairs (153),,,,,
Working Capital Fund,KRAS,ABCG2,Conduct of foreign affairs (153),,,,,
Office of the Inspector General,KRAS,ABCG2,Conduct of foreign affairs (153),,,,,
"Embassy Security, Construction, and Maintenance",KRAS,ABCG2,Conduct of foreign affairs (153),,,,,
Payment to Foreign Service Retirement and Disability Fund,KRAS,ABCG2,Conduct of foreign affairs (153),,,,,
Salaries and Expenses,KRAS,ABCG2,Conduct of foreign affairs (153),,,,,
National Endowment for Democracy,KRAS,ABCG2,Foreign information and exchange activities (154),,,,,
APCal and Cultural Exchange Programs,KRAS,ABCG2,Foreign information and exchange activities (154),,,,,
International Broadcasting Operations,KRAS,ABCG2,Foreign information and exchange activities (154),,,,,
Exchange Stabilization Fund,KRAS,ABCG2,International financial programs (155),,,,,
"Deposits, Advances, Foreign Military Sales Trust Fund",KRAS,ABCG2,International financial programs (155),,,,,
Foreign Military Sales Trust Fund,KRAS,ABCG2,International financial programs (155),,,,,
ExportImport Bank Loans Program Account,KRAS,ABCG2,International financial programs (155),,,,,
"ExportImport Bank Loans, Negative Subsidies",KRAS,ABCG2,International financial programs (155),,,,,
International cooperation (156),KRAS,ABCG2,International cooperation (156),,,,,
R&D Defence,KRAS,JUN,,,,,,
KRAS Overseas Contingency Operations (059),KRAS,RAC1,KRAS Overseas Contingency Operations (059),,,,,
Emergency Food and Shelter,MYC,GNAS,Food and nutrition assistance (605),,,,,
"Funds for Strengthening Markets, Income, and Supply (section 32)",MYC,GNAS,Food and nutrition assistance (605),,,,,
Supplemental Nutrition Assistance Program,MYC,GNAS,Food and nutrition assistance (605),,,,,
Supplemental Nutrition Assistance Program,MYC,GNAS,Food and nutrition assistance (605),,,,,
Commodity Assistance Program,MYC,GNAS,Food and nutrition assistance (605),,,,,
Nutrition Programs Administration,MYC,GNAS,Food and nutrition assistance (605),,,,,
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",MYC,GNAS,Food and nutrition assistance (605),,,,,
Child Nutrition Programs,MYC,GNAS,Food and nutrition assistance (605),,,,,
Child Nutrition Programs,MYC,GNAS,Food and nutrition assistance (605),,,,,
"Current Operations  MYC, Federal Categorical Assistance Programs (Disc. 2005) (E67)",MYC,GNAS,"Current Operations  MYC, Federal Categorical Assistance Programs (Disc. 2005) (E67)",,,,,
"Current Operations  MYC, Cash Assistance  Other (Disc. 2005) (E68)",MYC,GNAS,"Current Operations  MYC, Cash Assistance  Other (Disc. 2005) (E68)",,,,,
"Assistance and Subsidies  Public MYC, Federal Categorical Assistance Programs (J67)",MYC,GNAS,"Assistance and Subsidies  Public MYC, Federal Categorical Assistance Programs (J67)",,,,,
"Assistance and Subsidies  Public MYC, Cash Assistance Programs  Other (J68)",MYC,GNAS,"Assistance and Subsidies  Public MYC, Cash Assistance Programs  Other (J68)",,,,,
"Deposits by Federal Agencies to the Federal Employees Compensation Account, CFH Trust Fund",MYC,CFH,CFH compensation (603),,,,,
"Payments from the General Fund for Administrative Cost for Extended CFH Benefit, CFH Trust Fund",MYC,CFH,CFH compensation (603),,,,,
Payments to the CFH Trust Fund,MYC,CFH,CFH compensation (603),,,,,
State CFH Insurance and Employment Service Operations,MYC,CFH,CFH compensation (603),,,,,
Federal CFH Benefits and Allowances,MYC,CFH,CFH compensation (603),,,,,
CFH Trust Fund,MYC,CFH,CFH compensation (603),,,,,
CFH Trust Fund,MYC,CFH,CFH compensation (603),,,,,
CFH Trust Fund,MYC,CFH,CFH compensation (603),,,,,
CFH Trust Fund,MYC,CFH,CFH compensation (603),,,,,
Railroad CFH Insurance Trust Fund,MYC,CFH,CFH compensation (603),,,,,
Federal Intergovernmental  Employment Security Administration (B22),MYC,CFH,Federal Intergovernmental  Employment Security Administration (B22),,,,,
Current Operations  Social Insurance Administration (E22),MYC,CFH,Current Operations  Social Insurance Administration (E22),,,,,
Construction  Social Insurance Administration (F22),MYC,CFH,Construction  Social Insurance Administration (F22),,,,,
Other Capital Outlay  Social Insurance Administration (G22),MYC,CFH,Other Capital Outlay  Social Insurance Administration (G22),,,,,
CFH Compensation  Benefit Payments (Y05),MYC,CDKN1B,CFH Compensation  Benefit Payments (Y05),,,,,
CFH Compensation  Extended and Special Payments (Y06),MYC,CDKN1B,CFH Compensation  Extended and Special Payments (Y06),,,,,
Salaries and Expenses,MYC,SP1,General retirement and disability insurance (excluding social security (Disc. 2005) (601),,,,,
Pension Benefit Guaranty Corporation Fund,MYC,SP1,General retirement and disability insurance (excluding social security (Disc. 2005) (601),,,,,
Special Benefits for Disabled Coal Miners,MYC,SP1,General retirement and disability insurance (excluding social security (Disc. 2005) (601),,,,,
Black Lung Disability Trust Fund,MYC,SP1,General retirement and disability insurance (excluding social security (Disc. 2005) (601),,,,,
Special Workers' Compensation Expenses,MYC,SP1,General retirement and disability insurance (excluding social security (Disc. 2005) (601),,,,,
CCR5 Payments on Repayable Advances to the Black Lung Disability Trust Fund,MYC,SP1,General retirement and disability insurance (excluding social security (Disc. 2005) (601),,,,,
Payment of CCR5 on Advances to the Railroad Retirement Board,MYC,SP1,General retirement and disability insurance (excluding social security (Disc. 2005) (601),,,,,
Federal Payment to the District of Columbia Pension Fund,MYC,SP1,General retirement and disability insurance (excluding social security (Disc. 2005) (601),,,,,
"Federal Contribution, DC Federal Pension Fund",MYC,SP1,General retirement and disability insurance (excluding social security (Disc. 2005) (601),,,,,
District of Columbia Federal Pension Fund,MYC,SP1,General retirement and disability insurance (excluding social security (Disc. 2005) (601),,,,,
Federal Payments to the Railroad Retirement Accounts,MYC,SP1,General retirement and disability insurance (excluding social security (Disc. 2005) (601),,,,,
"Railroad Social Security Equivalent Benefit Account, Income Tax Credits",MYC,SP1,General retirement and disability insurance (excluding social security (Disc. 2005) (601),,,,,
"Railroad Social Security Equivalent Benefit Account, Receipts from Federal Oldage Survivors Ins. Trust Fund",MYC,SP1,General retirement and disability insurance (excluding social security (Disc. 2005) (601),,,,,
"Railroad Social Security Equivalent Benefit Account, Receipts from Federal Disability Insurance Trust Fund",MYC,SP1,General retirement and disability insurance (excluding social security (Disc. 2005) (601),,,,,
Railroad Social Security Equivalent Benefit Account,MYC,SP1,General retirement and disability insurance (excluding social security (Disc. 2005) (601),,,,,
"Payment from the National Railroad Retirement Investment Trust, Rail Industry Pension Fund",MYC,SP1,General retirement and disability insurance (excluding social security (Disc. 2005) (601),,,,,
"Federal Payments to Railroad Retirement Trust Funds, Rail Industry Pension Fund",MYC,SP1,General retirement and disability insurance (excluding social security (Disc. 2005) (601),,,,,
Rail Industry Pension Fund,MYC,SP1,General retirement and disability insurance (excluding social security (Disc. 2005) (601),,,,,
Rail Industry Pension Fund,MYC,SP1,General retirement and disability insurance (excluding social security (Disc. 2005) (601),,,,,
National Railroad Retirement Investment Trust,MYC,SP1,General retirement and disability insurance (excluding social security (Disc. 2005) (601),,,,,
SP1  Benefit Payments (Y14),MYC,SP1,SP1  Benefit Payments (Y14),,,,,
"Troubled Asset Relief Program, FMR1 Programs",MYC,FMR1,FMR1 assistance (604),,,,,
FMR1 Personnel Compensation and Benefits,MYC,FMR1,FMR1 assistance (604),,,,,
"Administration, Operations and Management",MYC,FMR1,FMR1 assistance (604),,,,,
Public and Indian FMR1 Personnel Compensation and Benefits,MYC,FMR1,FMR1 assistance (604),,,,,
Public FMR1 Operating Fund,MYC,FMR1,FMR1 assistance (604),,,,,
Revitalization of Severely Distressed Public FMR1 (HOPE VI),MYC,FMR1,FMR1 assistance (604),,,,,
Tenant Based Rental Assistance,MYC,FMR1,FMR1 assistance (604),,,,,
Projectbased Rental Assistance,MYC,FMR1,FMR1 assistance (604),,,,,
Projectbased Rental Assistance,MYC,FMR1,FMR1 assistance (604),,,,,
Public FMR1 Capital Fund,MYC,FMR1,FMR1 assistance (604),,,,,
Native American FMR1 Block Grant,MYC,FMR1,FMR1 assistance (604),,,,,
FMR1 Certificate Fund,MYC,FMR1,FMR1 assistance (604),,,,,
Selfhelp Homeownership Opportunity Program,MYC,FMR1,FMR1 assistance (604),,,,,
Homeless Assistance Grants,MYC,FMR1,FMR1 assistance (604),,,,,
Homeless Assistance Grants,MYC,FMR1,FMR1 assistance (604),,,,,
Home Investment Partnership Program,MYC,FMR1,FMR1 assistance (604),,,,,
FMR1 Opportunities for Persons with AIDS,MYC,FMR1,FMR1 assistance (604),,,,,
Other Assisted FMR1 Programs,MYC,FMR1,FMR1 assistance (604),,,,,
FMR1 for Persons with Disabilities,MYC,FMR1,FMR1 assistance (604),,,,,
FMR1 for the Elderly,MYC,FMR1,FMR1 assistance (604),,,,,
Affordable FMR1 Program,MYC,FMR1,FMR1 assistance (604),,,,,
Rental Assistance Program,MYC,FMR1,FMR1 assistance (604),,,,,
Federal Intergovernmental  FMR1 and HLA-G (B50),MYC,FMR1,Federal Intergovernmental  FMR1 and HLA-G (B50),,,,,
Current Operations  FMR1 and HLA-G (E50),MYC,FMR1,Current Operations  FMR1 and HLA-G (E50),,,,,
Construction  FMR1 and HLA-G (F50),MYC,FMR1,Construction  FMR1 and HLA-G (F50),,,,,
Other Capital Outlay  FMR1 and HLA-G (G50),MYC,FMR1,Other Capital Outlay  FMR1 and HLA-G (G50),,,,,
Payment Where Earned Income Credit Exceeds Liability for Tax,MYC,SLC6A3,Other income security (609),,,,,
Payment Where Child Tax Credit Exceeds Liability for Tax,MYC,SLC6A3,Other income security (609),,,,,
Payment Where Alternative Minimum Tax Credit Exceeds Liability for Tax,MYC,SLC6A3,Other income security (609),,,,,
Payment Where Adoption Credit Exceeds Liability for Tax,MYC,SLC6A3,Other income security (609),,,,,
Receipts from SSI Administrative Fee,MYC,SLC6A3,Other income security (609),,,,,
Recovery of Beneficiary Overpayments from SSI Program,MYC,SLC6A3,Other income security (609),,,,,
Supplemental Security Income Program,MYC,SLC6A3,Other income security (609),,,,,
Supplemental Security Income Program,MYC,SLC6A3,Other income security (609),,,,,
"State Supplemental Fees, SSI",MYC,SLC6A3,Other income security (609),,,,,
State Supplemental Fees,MYC,SLC6A3,Other income security (609),,,,,
Federal Share of Child Support Collections,MYC,SLC6A3,Other income security (609),,,,,
Payments to States for Child Support Enforcement and Family Support Programs,MYC,SLC6A3,Other income security (609),,,,,
Low Income Home Energy Assistance,MYC,SLC6A3,Other income security (609),,,,,
Refugee and Entrant Assistance,MYC,SLC6A3,Other income security (609),,,,,
Refugee and Entrant Assistance,MYC,SLC6A3,Other income security (609),,,,,
Payments to States for the Child Care and Development Block Grant,MYC,SLC6A3,Other income security (609),,,,,
Contingency Fund,MYC,SLC6A3,Other income security (609),,,,,
Payments for Foster Care and Permanency,MYC,SLC6A3,Other income security (609),,,,,
Child Care Entitlement to States,MYC,SLC6A3,Other income security (609),,,,,
Temporary Assistance for Needy Families,MYC,SLC6A3,Other income security (609),,,,,
Children's Research and Technical Assistance,MYC,SLC6A3,Other income security (609),,,,,
"Current Operations  Public MYC, Vendor Payments for Other Purposes (E75)",MYC,SLC6A3,"Current Operations  Public MYC, Vendor Payments for Other Purposes (E75)",,,,,
Current Operations  Public MYC Institutions (E77),MYC,SLC6A3,Current Operations  Public MYC Institutions (E77),,,,,
Current Operations  Public MYC  Other (E79),MYC,SLC6A3,Current Operations  Public MYC  Other (E79),,,,,
"Construction  Public MYC, Vendor Payments for Other Purposes (F75)",MYC,SLC6A3,"Construction  Public MYC, Vendor Payments for Other Purposes (F75)",,,,,
Construction  Public MYC Institutions (F77),MYC,SLC6A3,Construction  Public MYC Institutions (F77),,,,,
Construction  Public MYC  Other (F79),MYC,SLC6A3,Construction  Public MYC  Other (F79),,,,,
"Other Capital Outlay  Public MYC, Vendor Payments for Other Purposes (G75)",MYC,SLC6A3,"Other Capital Outlay  Public MYC, Vendor Payments for Other Purposes (G75)",,,,,
Other Capital Outlay  Public MYC Institutions (G77),MYC,SLC6A3,Other Capital Outlay  Public MYC Institutions (G77),,,,,
Other Capital Outlay  Public MYC  Other (G79),MYC,SLC6A3,Other Capital Outlay  Public MYC  Other (G79),,,,,
R&D Social MDM2,MYC,SCN5A,,,,,,
Other In Trust  Benefit Payment (Y53),MYC,CYP19A1,Other In Trust  Benefit Payment (Y53),,,,,
Other In Trust  Other Payments (Y54),MYC,CYP19A1,Other In Trust  Other Payments (Y54),,,,,
"Diversion Control Fee Account, DEA",MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Salaries and Expenses,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Construction,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Salaries and Expenses,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Diversion Control Fee Account,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Salaries and Expenses,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Salaries and Expenses,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Tactical Law Enforcement Wireless SRCs,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Justice Information Sharing Technology,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Office of Inspector General,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Administrative Review and Appeals,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Interagency Crime and Drug Enforcement,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Salaries and Expenses,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Enforcement,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Salaries and Expenses,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Treasury Forfeiture Fund,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Treasury Forfeiture Fund,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Office of the Inspector General,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Office for Civil Rights,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Immigration User Fee,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Immigration Examination Fee,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
H1B Nonimmigrant Petitioner Account,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Breached Bond/detention Fund,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Student and Exchange Visitor Fee,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
H1B and L Fraud Prevention and Detection Account,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
"US Customs User Fees Account, Conveyance/Passenger/Other",MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
"US Customs User Fees Account, Merchandise Processing",MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Departmental Operations,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Office of the Chief Information Officer,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Analysis and Operations,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Operating Expenses,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Citizenship and Immigration Services,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Citizenship and Immigration Services,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Operating Expenses,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
"Contribution for Annuity Benefits, United States Secret Service",MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Salaries and expenses,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Immigration and Customs Enforcement,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Immigration and Customs Enforcement,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Customs and Border MDM2,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Customs and Border MDM2,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
"Automation Modernization, Customs and Border MDM2",MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
"Construction, Customs and Border MDM2",MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
"Border Security Fencing, Infrastructure, and Technology",MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
"Air and Marine Interdiction, Operations, Maintenance, and Procurement",MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Electronic System for Travel Authorization,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
United States Visitor and Immigrant Status Indicator Technology,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
"Research, Development, Acquisitions and Operations",MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
"Research, Development, and Operations",MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Fair FMR1 Activities,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Fair FMR1 and Equal Opportunity Personnel Compensation and Benefits,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Salaries and Expenses,MDM2,CYP2C9,Federal law enforcement activities (751),,,,,
Current Operations  Police MDM2 (E62),MDM2,CYP2C9,Current Operations  Police MDM2 (E62),,,,,
Construction  Police MDM2 (F62),MDM2,CYP2C9,Construction  Police MDM2 (F62),,,,,
Other Capital Outlay  Police MDM2 (G62),MDM2,CYP2C9,Other Capital Outlay  Police MDM2 (G62),,,,,
Current Operations  Local Fire MDM2 (E24),MDM2,HGF,Current Operations  Local Fire MDM2 (E24),,,,,
Construction  Local Fire MDM2 (F24),MDM2,HGF,Construction  Local Fire MDM2 (F24),,,,,
Other Capital Outlay  Local Fire MDM2 (G24),MDM2,HGF,Other Capital Outlay  Local Fire MDM2 (G24),,,,,
"Fees for Bankruptcy Oversight, U.S. Trustees System",MDM2,MBL2,Federal litigative and judicial activities (752),,,,,
Federal Prisoner Detention,MDM2,MBL2,Federal litigative and judicial activities (752),,,,,
"Salaries and Expenses, General Legal Activities",MDM2,MBL2,Federal litigative and judicial activities (752),,,,,
Fees and Expenses of Witnesses,MDM2,MBL2,Federal litigative and judicial activities (752),,,,,
